Designator,Mid X,Mid Y,Rotation,Layer
AIR601,43.7375,-39.112502,180.0,top
C201,56.675,-36.56,90.0,top
C202,53.475,-39.76,0.0,top
C301,69.05,-48.81,0.0,top
C302,58.875,-36.56,90.0,top
C303,65.2125,-32.01,0.0,top
C304,74.65,-35.21,90.0,top
C305,76.925,-35.21,90.0,top
C306,59.075,-40.51,90.0,top
C307,58.65,-32.61,90.0,top
C308,38.5125,-32.61,180.0,top
C401,42.06,-59.62,90.0,top
C402,32.02,-59.41,90.0,top
C403,36.5,-50.61,0.0,top
C404,32.49,-50.24,0.0,top
C405,39.85,-47.01,270.0,top
C501,74.25,-55.81,270.0,top
C502,74.25,-59.81,270.0,top
C503,74.25,-51.81,270.0,top
C504,72.05,-51.81,270.0,top
C505,60.05,-59.81,90.0,top
C506,72.05,-55.81,270.0,top
C507,72.05,-59.81,270.0,top
C508,65.2,-49.585,0.0,top
C601,37.65,-46.81,270.0,top
D401,46.85,-59.81,90.0,top
D402,27.45,-55.46,90.0,top
D501,61.05,-49.21,0.0,top
D502,60.05,-52.01,90.0,top
FB501,60.05,-55.81,270.0,top
IC301,66.85,-40.21,270.0,top
IC401,37.04,-58.41,180.0,top
IC402,36.65,-53.585,0.0,top
J301,54.455,-32.41,270.0,top
J303,33.435,-36.6975,180.0,top
J401,22.525,-54.18,0.0,top
J502,53.8,-58.31,0.0,top
R301,74.85,-40.01,90.0,top
R302,28.05,-50.41,180.0,top
R303,22.825,-50.11,180.0,top
R401,40.175,-51.335,90.0,top
R402,32.42,-54.36,0.0,top
R403,32.48,-52.31,180.0,top
R404,42.85,-56.61,0.0,top
R405,41.07,-54.54,0.0,top
R406,44.45,-59.81,90.0,top
R501,46.65,-54.81,180.0,top
R502,46.65,-56.81,0.0,top
R503,58.05,-48.21,270.0,top
R504,57.85,-52.21,270.0,top
S201,52.1,-49.21,90.0,top
S202,79.65,-59.76,0.0,top
U201,53.45,-36.66,180.0,top
U501,66.05,-56.21,270.0,top
